      k          chi          mag           phase @#
    15.7500   -1.188626E-03  1.568503E-03  4.798384E+01
    15.8000   -1.327456E-03  1.538018E-03  4.816526E+01
    15.8500   -1.418081E-03  1.509106E-03  4.834559E+01
    15.9000   -1.460667E-03  1.481957E-03  4.852498E+01
    15.9500   -1.456652E-03  1.456709E-03  4.870357E+01
    16.0000   -1.408487E-03  1.433444E-03  4.888156E+01
    16.0500   -1.328776E-03  1.428187E-03  4.907000E+01
    16.1000   -1.203328E-03  1.424181E-03  4.925906E+01
    16.1500   -1.035857E-03  1.421246E-03  4.944886E+01
    16.2000   -8.314841E-04  1.419182E-03  4.963950E+01
    16.2500   -5.967287E-04  1.417779E-03  4.983106E+01
    16.3000   -3.394414E-04  1.416825E-03  5.002355E+01
    16.3500   -6.863735E-05  1.416114E-03  5.021699E+01
    16.4000    2.057705E-04  1.415455E-03  5.041137E+01
    16.4500    4.733334E-04  1.414674E-03  5.060665E+01
    16.5000    7.235073E-04  1.413621E-03  5.080277E+01
    16.5500    9.461429E-04  1.412170E-03  5.099968E+01
    16.6000    1.131990E-03  1.410217E-03  5.119730E+01
    16.6500    1.273178E-03  1.407687E-03  5.139556E+01
    16.7000    1.363635E-03  1.404523E-03  5.159439E+01
    16.7500    1.399421E-03  1.400689E-03  5.179373E+01
    16.8000    1.378949E-03  1.396167E-03  5.199349E+01
    16.8500    1.303077E-03  1.390949E-03  5.219363E+01
    16.9000    1.175081E-03  1.385038E-03  5.239410E+01
    16.9500    1.000505E-03  1.378444E-03  5.259485E+01
    17.0000    7.869018E-04  1.371180E-03  5.279583E+01
    17.0500    5.647433E-04  1.368522E-03  5.298170E+01
    17.1000    3.229644E-04  1.365280E-03  5.316826E+01
    17.1500    7.022565E-05  1.361337E-03  5.335547E+01
    17.2000   -1.841772E-04  1.356588E-03  5.354326E+01
    17.2500   -4.306987E-04  1.350943E-03  5.373155E+01
    17.3000   -6.599846E-04  1.344339E-03  5.392024E+01
    17.3500   -8.633350E-04  1.336750E-03  5.410921E+01
    17.4000   -1.033148E-03  1.328186E-03  5.429834E+01
    17.4500   -1.163304E-03  1.318695E-03  5.448751E+01
    17.5000   -1.249444E-03  1.308361E-03  5.467663E+01
    17.5500   -1.289128E-03  1.297295E-03  5.486560E+01
    17.6000   -1.281867E-03  1.285627E-03  5.505437E+01
    17.6500   -1.229030E-03  1.273494E-03  5.524290E+01
    17.7000   -1.133665E-03  1.261026E-03  5.543118E+01
    17.7500   -1.000270E-03  1.248342E-03  5.561924E+01
    17.8000   -8.345241E-04  1.235531E-03  5.580711E+01
    17.8500   -6.430373E-04  1.222655E-03  5.599485E+01
    17.9000   -4.330986E-04  1.209743E-03  5.618253E+01
    17.9500   -2.124442E-04  1.196791E-03  5.637021E+01
    18.0000    1.097353E-05  1.183773E-03  5.655794E+01
    18.0500    2.178767E-04  1.163479E-03  5.673704E+01
    18.1000    4.093546E-04  1.144778E-03  5.691435E+01
    18.1500    5.815184E-04  1.128044E-03  5.709027E+01
    18.2000    7.314120E-04  1.113493E-03  5.726532E+01
    18.2500    8.566422E-04  1.101176E-03  5.744004E+01
    18.3000    9.550745E-04  1.090984E-03  5.761498E+01
    18.3500    1.024664E-03  1.082667E-03  5.779065E+01
    18.4000    1.063459E-03  1.075863E-03  5.796747E+01
    18.4500    1.069766E-03  1.070136E-03  5.814575E+01
    18.5000    1.042448E-03  1.065013E-03  5.832568E+01
    18.5500    9.812758E-04  1.060021E-03  5.850734E+01
    18.6000    8.872646E-04  1.054716E-03  5.869070E+01
    18.6500    7.629199E-04  1.048712E-03  5.887561E+01
    18.7000    6.123299E-04  1.041695E-03  5.906190E+01
    18.7500    4.410800E-04  1.033433E-03  5.924930E+01
    18.8000    2.559903E-04  1.023783E-03  5.943754E+01
    18.8500    6.470678E-05  1.012683E-03  5.962632E+01
    18.9000   -1.247993E-04  1.000148E-03  5.981537E+01
    18.9500   -3.047580E-04  9.862590E-04  6.000441E+01
    19.0000   -4.680904E-04  9.711488E-04  6.019319E+01
    19.0500   -6.144804E-04  9.586672E-04  6.038603E+01
    19.1000   -7.341073E-04  9.460859E-04  6.057847E+01
    19.1500   -8.234417E-04  9.335347E-04  6.077050E+01
    19.2000   -8.802977E-04  9.211430E-04  6.096215E+01
    19.2500   -9.037686E-04  9.090210E-04  6.115350E+01
    19.3000   -8.941050E-04  8.972421E-04  6.134470E+01
    19.3500   -8.525801E-04  8.858289E-04  6.153591E+01
    19.4000   -7.813831E-04  8.747470E-04  6.172729E+01
    19.4500   -6.835587E-04  8.639059E-04  6.191902E+01
    19.5000   -5.629846E-04  8.531701E-04  6.211120E+01
    19.5500   -4.243530E-04  8.423758E-04  6.230391E+01
    19.6000   -2.731108E-04  8.313549E-04  6.249712E+01
    19.6500   -1.153135E-04  8.199590E-04  6.269075E+01
    19.7000    4.262827E-05  8.080829E-04  6.288463E+01
    19.7500    1.943009E-04  7.956826E-04  6.307854E+01
    19.8000    3.336961E-04  7.827864E-04  6.327224E+01
    19.8500    4.556075E-04  7.694967E-04  6.346550E+01
    19.9000    5.559452E-04  7.559812E-04  6.365810E+01
    19.9500    6.319077E-04  7.424558E-04  6.384994E+01
    20.0000    6.819887E-04  7.291587E-04  6.404098E+01
